#Procedure: <__main__.SAFCProcedure>
#Parameters:
#	Amplitude Voltage: 0.01 V
#	Current Step: 1
#	Dwell Time: 1 min
#	EIS Sample Number: 1
#	Run EIS: True
#	Eurotherm Address: 1
#	Eurotherm Port: ASRL9::INSTR
#	Maximum Frequency: 1000 Hz
#	MFC 1 Setpoint: 0 sccm
#	MFC 2 Setpoint: 0 sccm
#	MFC 3 Setpoint: 0 sccm
#	MFC 4 Setpoint: 0 sccm
#	ROD-4 Port: ASRL3::INSTR
#	Minimum Frequency: 500 Hz
#	Number of Measurement Steps: 1
#	Points Per Decade: 5
#	Potentiostat Port: GPIB0::20::INSTR
#	Ramp Rate: 1 C/min
#	Record Time: 2 s
#	Scanner Port: GPIB0::17::INSTR
#	Target Temperature: 90 C
#	TC Sensor Port: GPIB0::15::INSTR
#Data:
System Time,Time (s),Furnace Temperature (degC),1: Temperature (degC),2: Temperature (degC),3: Temperature (degC),MFC 1 Flow (cc/min),MFC 2 Flow (cc/min),MFC 3 Flow (cc/min),MFC 4 Flow (cc/min),Frequency (Hz),Z_re (ohm),-Z_im (ohm)
2026-07-22 13:37:42.083005,0.0,83.22237396240234,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:44.074037,2.0,83.22257995605469,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:46.083043,4.0,83.21963500976562,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:48.078084,6.0,83.21111297607422,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:50.080088,8.0,83.25445556640625,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:52.080091,10.0,83.33183288574219,nan,nan,nan,3.0,6.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:54.086144,12.0,83.44429016113281,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:56.078228,14.0,83.58091735839844,nan,nan,nan,3.0,6.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:37:58.073278,16.0,83.74375915527344,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:38:00.071337,18.0,83.93463134765625,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:38:02.075386,20.0,84.11542510986328,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 13:38:04.082430,22.0,84.31144714355469,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
