#Procedure: <__main__.SAFCProcedure>
#Parameters:
#	Amplitude Voltage: 0.01 V
#	Current Step: 2
#	Dwell Time: 5 min
#	EIS Sample Number: 0
#	Run EIS: True
#	Eurotherm Address: 1
#	Eurotherm Port: ASRL9::INSTR
#	Maximum Frequency: 1000 Hz
#	MFC 1 Setpoint: 0 sccm
#	MFC 2 Setpoint: 0 sccm
#	MFC 3 Setpoint: 0 sccm
#	MFC 4 Setpoint: 0 sccm
#	ROD-4 Port: ASRL3::INSTR
#	Minimum Frequency: 500 Hz
#	Number of Measurement Steps: 2
#	Points Per Decade: 10
#	Potentiostat Port: GPIB0::20::INSTR
#	Ramp Rate: 5 C/min
#	Record Time: 2 s
#	Scanner Port: GPIB0::17::INSTR
#	Target Temperature: 23 C
#	TC Sensor Port: GPIB0::15::INSTR
#Data:
System Time,Time (s),Furnace Temperature (degC),1: Temperature (degC),2: Temperature (degC),3: Temperature (degC),MFC 1 Flow (cc/min),MFC 2 Flow (cc/min),MFC 3 Flow (cc/min),MFC 4 Flow (cc/min),Frequency (Hz),Z_re (ohm),-Z_im (ohm)
2026-07-22 14:23:39.972995,0.0,108.50513458251953,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:41.977998,2.0,108.64422607421875,nan,110.56945493262857,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:43.973001,4.0,108.72595977783203,57.034548917559455,56.99110859479584,56.964561267790984,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:45.968004,6.0,108.77855682373047,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:47.968006,8.0,108.86650848388672,nan,110.5067686189441,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:49.968009,10.0,108.97240447998047,nan,nan,56.796145519974345,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:51.973012,12.0,109.09808349609375,56.928889819602546,56.85648493491743,56.759940990770346,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:53.968015,14.0,109.24853515625,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:55.983018,16.0,109.42688751220703,nan,110.18880445471082,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:57.968020,18.0,109.62654876708984,nan,nan,56.359764319977344,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:23:59.973023,20.0,109.810302734375,56.5335753692044,56.43218747532579,56.33079430119641,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:01.978026,22.0,110.00897979736328,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:03.973029,24.0,110.23809051513672,nan,109.81349144586999,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:05.968032,26.0,110.46975708007812,56.06184099840226,55.962842948767545,55.90006102741024,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:07.968034,28.0,110.71337127685547,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:09.973037,30.0,110.92424011230469,nan,109.4862660959828,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:11.978040,32.0,111.21984100341797,55.671513816753766,55.53868287342738,55.47588676681973,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:13.973043,34.0,111.48419952392578,55.24644356359336,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:15.968046,36.0,111.70213317871094,nan,55.154649370433106,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:17.968048,38.0,111.94686126708984,55.207793938015314,55.09667171464883,54.97104712181773,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:19.973051,40.0,112.16769409179688,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:21.983054,42.0,112.43289947509766,nan,108.80264557892811,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:23.978057,44.0,112.61785888671875,54.81310290419635,54.69229119667689,54.6294658833919,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:25.973060,46.0,112.7796401977539,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:27.973062,48.0,112.93387603759766,nan,108.49617886197713,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:29.978065,50.0,113.11360168457031,54.464733134173876,54.3728989936501,54.336647357520576,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:31.968068,52.0,113.2572021484375,nan,nan,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:33.978071,54.0,113.39838409423828,nan,108.2200097301555,nan,3.0,7.0,-1.0,-3.0,nan,nan,nan
2026-07-22 14:24:35.974094,56.0,113.53659057617188,nan,nan,54.02312513331025,3.0,7.0,-1.0,-3.0,nan,nan,nan
