#Procedure: <__main__.SAFCProcedure>
#Parameters:
#	Amplitude Voltage: 0.01 V
#	Current Step: 1
#	Dwell Time: 5 min
#	EIS Sample Number: 0
#	Run EIS: True
#	Eurotherm Address: 1
#	Eurotherm Port: ASRL9::INSTR
#	Maximum Frequency: 1000 Hz
#	MFC 1 Setpoint: 40 sccm
#	MFC 2 Setpoint: 50 sccm
#	MFC 3 Setpoint: 60 sccm
#	MFC 4 Setpoint: 30 sccm
#	ROD-4 Port: ASRL3::INSTR
#	Minimum Frequency: 500 Hz
#	Number of Measurement Steps: 1
#	Points Per Decade: 10
#	Potentiostat Port: GPIB0::20::INSTR
#	Ramp Rate: 5 C/min
#	Record Time: 2 s
#	Scanner Port: GPIB0::17::INSTR
#	Target Temperature: 23 C
#	TC Sensor Port: GPIB0::15::INSTR
#Data:
System Time,Time (s),Furnace Temperature (degC),1: Temperature (degC),2: Temperature (degC),3: Temperature (degC),MFC 1 Flow (cc/min),MFC 2 Flow (cc/min),MFC 3 Flow (cc/min),MFC 4 Flow (cc/min),Frequency (Hz),Z_re (ohm),-Z_im (ohm)
2026-07-22 13:22:39.243439,0.0,56.675315856933594,nan,nan,nan,3.0,50.0,58.0,29.0,nan,nan,nan
2026-07-22 13:22:41.233442,2.0,55.99803924560547,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:43.243445,4.0,57.76996994018555,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:45.238447,6.0,60.26481246948242,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:47.238450,8.0,62.73204803466797,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:49.243453,10.0,64.91294860839844,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:51.233456,12.0,66.77722930908203,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:53.243459,14.0,68.35848236083984,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:55.238461,16.0,69.70356750488281,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:57.238464,18.0,70.87429809570312,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:22:59.243467,20.0,71.86029052734375,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:01.233470,22.0,72.6695556640625,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:03.243473,24.0,73.34082794189453,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:05.238475,26.0,73.8968734741211,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:07.238478,28.0,74.36863708496094,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:09.243481,30.0,74.7381820678711,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:11.233484,32.0,74.98595428466797,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:13.243487,34.0,75.24871826171875,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:15.238489,36.0,75.49325561523438,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:17.238492,38.0,75.67621612548828,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:19.243495,40.0,75.84390258789062,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:21.233498,42.0,75.9468002319336,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:23.243501,44.0,74.12706756591797,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:25.238503,46.0,70.56721496582031,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:27.238506,48.0,65.61211395263672,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:29.243509,50.0,61.74653625488281,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:31.233512,52.0,58.34481430053711,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:33.243515,54.0,54.802364349365234,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:35.243517,56.0,51.42734146118164,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:37.243520,58.0,48.980918884277344,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:39.233523,60.0,46.739498138427734,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:41.243526,62.0,44.761199951171875,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:43.238529,64.0,43.37843322753906,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:45.238531,66.0,42.378173828125,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:47.238534,68.0,41.33414840698242,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:49.241593,70.0,40.811195373535156,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:51.231596,72.0,43.236412048339844,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:53.241599,74.0,47.36233901977539,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:55.237612,76.0,51.656410217285156,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
2026-07-22 13:23:57.239664,78.0,55.537437438964844,nan,nan,nan,3.0,50.0,59.0,30.0,nan,nan,nan
